<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MWG,20180504,75.24,75.97,74.72,74.86,184450
MWG,20180503,75.23,75.23,73.90,74.94,258960
MWG,20180502,75.23,78.18,74.86,74.86,254610
MWG,20180427,74.50,75.97,73.02,75.23,330400
MWG,20180426,77.81,78.18,74.20,74.35,338620
MWG,20180424,77.81,78.84,77.44,77.96,220980
MWG,20180423,76.36,79.12,76.29,77.81,685820
MWG,20180420,72.72,74.25,72.00,74.25,338220
MWG,20180419,75.19,75.19,71.26,71.27,314620
MWG,20180418,76.35,76.50,74.90,74.90,206100
MWG,20180417,77.24,77.45,76.36,76.50,244320
MWG,20180416,77.09,77.45,76.36,77.09,343280
MWG,20180413,76.36,76.65,75.63,76.65,542420
MWG,20180412,72.73,75.27,72.58,75.27,495810
MWG,20180411,73.45,74.54,72.58,72.58,525250
MWG,20180410,75.20,75.27,73.45,73.45,506380
MWG,20180409,76.94,77.09,75.13,75.20,306530
MWG,20180406,76.65,78.18,76.21,76.58,265350
MWG,20180405,76.73,78.40,76.65,76.65,215460
MWG,20180404,74.90,77.59,74.90,76.29,511510
MWG,20180403,80.07,80.07,74.91,74.90,1076000
MWG,20180402,82.03,82.25,79.99,80.07,767210
MWG,20180330,82.18,82.83,82.03,82.03,183280
MWG,20180329,82.90,83.27,81.30,82.25,351580
MWG,20180328,82.90,83.55,82.32,82.32,314920
MWG,20180327,83.63,84.65,82.90,82.90,341730
MWG,20180326,83.63,86.10,83.63,83.63,224100
MWG,20180323,83.64,85.82,82.98,84.50,278400
MWG,20180322,87.27,88.43,85.82,85.89,293790
MWG,20180321,88.72,89.23,87.27,87.27,433980
MWG,20180320,85.60,88.00,85.16,87.27,673160
MWG,20180319,84.72,85.82,84.36,85.09,527170
MWG,20180316,84.36,84.36,80.72,82.47,481790
MWG,20180315,83.63,83.63,82.54,82.54,349720
MWG,20180314,85.09,85.60,83.63,83.63,250220
MWG,20180313,85.09,85.16,84.00,84.36,219390
MWG,20180312,84.43,85.67,84.43,85.09,192120
MWG,20180309,84.35,84.72,83.63,84.43,244020
MWG,20180308,83.05,84.36,83.05,83.70,243880
MWG,20180307,84.36,84.36,82.69,82.98,619200
MWG,20180306,86.90,86.97,83.63,85.09,609300
MWG,20180305,88.72,89.01,86.76,86.90,768540
MWG,20180302,88.00,88.58,87.05,88.36,690310
MWG,20180301,89.45,90.18,88.36,89.09,277590
MWG,20180228,90.90,91.27,89.81,90.18,351460
MWG,20180227,88.72,91.63,87.26,91.63,746580
MWG,20180226,87.27,89.08,87.12,87.99,478400
MWG,20180223,86.90,87.34,86.61,87.12,207380
MWG,20180222,88.72,89.38,86.54,86.54,303130
MWG,20180221,88.00,89.67,88.00,89.45,200190
MWG,20180213,82.90,87.63,82.90,87.27,192920
MWG,20180212,83.63,83.63,81.09,82.83,570900
MWG,20180209,83.63,83.63,80.72,81.45,895800
MWG,20180208,88.36,88.36,85.45,86.32,331600
MWG,20180207,88.65,89.38,87.63,87.63,458750
MWG,20180206,87.26,87.63,83.99,86.54,1006780
MWG,20180205,91.63,91.63,88.72,89.81,695700
MWG,20180202,94.17,94.54,92.06,92.07,852600
MWG,20180201,90.91,97.60,89.96,97.59,467000
MWG,20180131,91.56,91.56,90.18,91.27,418280
MWG,20180130,90.90,92.28,89.96,91.56,429120
MWG,20180129,92.50,92.50,88.21,90.03,1019580
MWG,20180126,94.17,94.39,92.50,92.50,282470
MWG,20180125,93.81,94.90,92.43,93.81,735390
MWG,20180122,92.79,95.63,92.57,93.45,328910
MWG,20180119,94.18,94.18,92.29,92.72,374620
MWG,20180118,92.73,94.18,91.64,94.18,472240
MWG,20180117,94.97,95.19,93.08,93.09,699560
MWG,20180116,94.97,95.63,94.54,95.19,502050
MWG,20180115,94.69,94.98,94.54,94.90,426390
MWG,20180112,95.92,95.92,94.61,94.69,761010
MWG,20180111,95.63,96.35,95.63,95.92,432890
MWG,20180110,95.63,96.72,95.27,96.50,726350
MWG,20180109,95.49,96.00,94.47,95.63,854350
MWG,20180108,96.36,96.72,95.26,95.49,752020
MWG,20180105,98.17,98.17,96.57,97.01,733030
MWG,20180104,97.53,98.47,97.45,98.10,678710
MWG,20180103,96.14,98.32,95.99,97.89,1132510
MWG,20180102,95.27,96.36,95.27,95.99,566400
MWG,20171229,95.19,96.87,95.12,95.27,2556830
MWG,20171228,94.54,95.63,94.54,95.12,843070
MWG,20171227,95.99,96.21,94.17,94.54,601920
MWG,20171226,95.27,96.51,95.27,95.99,314940
MWG,20171225,95.77,95.99,94.75,95.27,422830
MWG,20171222,94.18,96.36,93.89,95.99,462180
MWG,20171221,94.54,95.99,94.17,94.18,891390
MWG,20171220,97.45,97.45,96.00,96.72,607890
MWG,20171219,95.99,97.66,95.34,97.45,710570
MWG,20171218,95.99,97.01,95.70,95.99,386750
MWG,20171215,94.25,96.36,93.96,95.99,410030
MWG,20171214,90.18,94.18,90.18,94.18,512900
MWG,20171213,91.99,92.64,90.24,90.25,425000
MWG,20171212,92.57,93.74,89.45,91.99,788930
MWG,20171211,92.36,93.66,91.85,92.50,565050
MWG,20171208,93.59,94.68,93.23,93.81,370230
MWG,20171207,95.27,95.48,93.59,93.59,529330
MWG,20171206,96.43,96.65,93.88,94.32,1041660
MWG,20171205,99.05,99.27,96.50,96.50,481740
MWG,20171204,98.54,99.56,98.25,99.05,552520
MWG,20171201,97.89,98.91,97.45,98.83,437480
MWG,20171130,98.46,98.54,97.52,98.18,453750
MWG,20171129,96.72,97.96,96.50,97.81,380520
MWG,20171128,96.57,97.67,95.48,96.43,493330
MWG,20171127,99.41,99.85,95.63,96.72,1430020
MWG,20171124,99.13,99.64,98.62,99.34,540170
MWG,20171123,100.35,100.79,98.90,99.49,680450
MWG,20171122,99.27,100.51,98.47,99.99,813520
MWG,20171121,99.27,100.80,99.27,99.27,965780
MWG,20171120,97.45,99.27,97.01,99.27,767100
MWG,20171117,98.17,98.54,96.79,97.45,682340
MWG,20171116,97.09,98.40,96.73,97.81,589230
MWG,20171115,97.81,99.34,97.08,97.09,715210
MWG,20171114,93.82,98.18,93.45,97.81,2057700
MWG,20171113,93.74,93.74,92.58,93.09,543700
MWG,20171110,93.81,94.76,92.79,93.74,595520
MWG,20171109,93.09,94.91,93.09,93.81,963520
MWG,20171108,91.85,93.09,91.85,93.09,500630
MWG,20171107,92.43,92.65,91.56,91.85,404420
MWG,20171106,91.85,93.38,91.63,92.36,407030
MWG,20171103,87.27,91.27,87.27,91.27,596960
MWG,20171102,92.00,92.29,86.62,87.27,1823520
